	model	Occupation	acc	diff	expected	unexpected	macrodiff
0	gpt2	academic	0.6673850574712644	-0.19226954860248777	18.96062686525542	19.15289641385791	-0.19226954860248924
1	gpt2	accountant	0.8627873563218391	-0.5106701946806633	22.750740747342164	23.261410942022827	-0.5106701946806638
2	gpt2	actor	0.9737787356321839	-0.6742196333134312	18.36300686344333	19.037226496756762	-0.6742196333134309
3	gpt2	actress	0.9425287356321839	-0.614680928745489	19.46616927440139	20.08085020314688	-0.6146809287454893
4	gpt2	administrator	0.9640804597701149	-0.8208325868365408	22.296852563304462	23.117685150141003	-0.8208325868365414
5	gpt2	analyst	0.6497844827586207	-0.146392729090548	21.40444418411145	21.550836913202	-0.14639272909055023
6	gpt2	architect	0.9640804597701149	-0.7365727054661716	21.85091842042989	22.587491125896058	-0.7365727054661697
7	gpt2	artist	0.9917385057471264	-1.108613869239544	19.239235388136457	20.347849257376	-1.1086138692395444
8	gpt2	assistant	0.8286637931034483	-0.4000476934443945	21.363458351157178	21.763506044601574	-0.40004769344439595
9	gpt2	astronaut	0.7561063218390804	-0.2756632539047591	22.43735424883064	22.7130175027354	-0.2756632539047601
10	gpt2	athlete	0.9116379310344828	-0.5432673435786675	19.957830751079253	20.50109809465792	-0.5432673435786661
11	gpt2	attendant	0.891882183908046	-0.6253419813068435	23.335914473424012	23.961256454730854	-0.6253419813068426
12	gpt2	auditor	0.9396551724137931	-0.49121292432149244	22.57185423922265	23.06306716354414	-0.49121292432149133
13	gpt2	author	0.9170258620689655	-0.5924713464303949	20.051819271397317	20.64429061782771	-0.5924713464303935
14	gpt2	broker	0.7704741379310345	-0.3425058643708284	17.77830130204387	18.1208071664147	-0.3425058643708283
15	gpt2	chef	0.9669540229885057	-0.9093115629478433	17.214219106853694	18.123530669801536	-0.9093115629478419
16	gpt2	chief	0.802801724137931	-0.2958180561832998	15.257579039225632	15.553397095408933	-0.29581805618330037
17	gpt2	cleaner	0.5844109195402298	-0.10061496804500449	15.05510117062207	15.155716138667074	-0.10061496804500436
18	gpt2	clergy	0.9956896551724138	-1.4374596702641453	18.127422748625964	19.564882418890107	-1.4374596702641433
19	gpt2	clerk	0.8979885057471264	-0.5122518563407592	17.23680361762814	17.7490554739689	-0.512251856340761
20	gpt2	coach	0.9012212643678161	-0.5244660524801276	15.505171908729379	16.029637961209506	-0.5244660524801272
21	gpt2	collector	0.7654454022988506	-0.3361778022914097	15.483499819862432	15.819677622153842	-0.3361778022914095
22	gpt2	comedian	0.8211206896551724	-0.399552122957405	13.695641845464706	14.09519396842211	-0.39955212295740417
